addr,name,unit,confidence,name_source
0x00109EE8,func_00109EE8,,reached,generated
0x00109FC0,func_00109FC0,,reached,generated
0x00109FD8,dbbuf_00109FD8,dbbuf.c,reached,generated
0x0010A010,dbbuf_0010A010,dbbuf.c,reached,generated
0x0010A048,dbbuf_0010A048,dbbuf.c,reached,generated
0x0010A068,func_0010A068,dbbuf.c,reached,generated
0x0010A070,dbbuf_0010A070,dbbuf.c,reached,generated
0x0010A0F8,dbbuf_0010A0F8,dbbuf.c,reached,generated
0x0010A180,dbbuf_0010A180,dbbuf.c,reached,generated
0x0010A190,dbbuf_0010A190,dbbuf.c,reached,generated
0x0010A1E0,texture_0010A1E0,texture.c,reached,generated
0x0010A228,texture_0010A228,texture.c,reached,generated
0x0010A280,func_0010A280,texture.c,reached,generated
0x0010A288,TextureMan,texture.c,reached,solo_string
0x0010A500,texture_0010A500,texture.c,reached,generated
0x0010A518,texture_0010A518,texture.c,reached,generated
0x0010A528,texture_0010A528,texture.c,reached,generated
0x0010A5A8,texture_0010A5A8,texture.c,reached,generated
0x0010A600,texture_0010A600,texture.c,reached,generated
0x0010A628,strncmp,texture.c,reached,trace_string
0x0010AC90,texture_0010AC90,texture.c,reached,generated
0x0010AE20,texture_0010AE20,texture.c,reached,generated
0x0010AEC8,texture_0010AEC8,texture.c,reached,generated
0x0010B040,texture_0010B040,texture.c,reached,generated
0x0010B150,texture_0010B150,texture.c,reached,generated
0x0010B1F8,texture_0010B1F8,texture.c,reached,generated
0x0010B420,texture_0010B420,texture.c,reached,generated
0x0010B458,texture_0010B458,texture.c,reached,generated
0x0010B4A0,texture_0010B4A0,texture.c,reached,generated
0x0010B508,texture_0010B508,texture.c,reached,generated
0x0010B5B8,texture_0010B5B8,texture.c,reached,generated
0x0010B630,texture_0010B630,texture.c,reached,generated
0x0010B698,texture_0010B698,texture.c,reached,generated
0x0010B6A0,texture_0010B6A0,texture.c,reached,generated
0x0010B8B0,texture_0010B8B0,texture.c,reached,generated
0x0010B910,Texinfo,texture.c,reached,trace_string
0x0010B990,texture_0010B990,texture.c,reached,generated
0x0010BA90,texture_0010BA90,texture.c,unreferenced,generated
0x0010BB80,texture_0010BB80,texture.c,unreferenced,generated
0x0010BC38,texture_0010BC38,texture.c,unreferenced,generated
0x0010BC68,texture_0010BC68,texture.c,reached,generated
0x0010BE70,texture_0010BE70,texture.c,reached,generated
0x0010C010,texture_0010C010,texture.c,reached,generated
0x0010C208,texture_0010C208,texture.c,reached,generated
0x0010C2E0,gsmem_0010C2E0,gsmem.c,reached,generated
0x0010C360,gsmem_0010C360,gsmem.c,reached,generated
0x0010C390,gsmem_0010C390,gsmem.c,reached,generated
0x0010C3C8,GsMemAlloc,gsmem.c,reached,trace_string
0x0010C4F8,gsmem_0010C4F8,gsmem.c,reached,generated
0x0010C5B8,gsmem_0010C5B8,gsmem.c,reached,generated
0x0010C688,gsmem_0010C688,gsmem.c,reached,generated
0x0010C720,gsmem_0010C720,gsmem.c,reached,generated
0x0010C780,gsmem_0010C780,gsmem.c,reached,generated
0x0010C828,gsbuf_0010C828,gsbuf.c,reached,generated
0x0010C868,func_0010C868,gsbuf.c,reached,generated
0x0010C870,gsbuf_0010C870,gsbuf.c,reached,generated
0x0010C8C8,gsbuf_0010C8C8,gsbuf.c,reached,generated
0x0010CC00,rand_below,,reached,manual
0x0010CC48,misc_0010CC48,misc.c,reached,generated
0x0010CD80,func_0010CD80,misc.c,unreferenced,generated
0x0010CDD0,misc_0010CDD0,misc.c,unreferenced,generated
0x0010CEB8,func_0010CEB8,,unreferenced,generated
0x0010CF20,func_0010CF20,,unreferenced,generated
0x0010CF78,func_0010CF78,,reached,generated
0x0010CFE0,sound_0010CFE0,sound.c,reached,generated
0x0010D068,func_0010D068,sound.c,reached,generated
0x0010D0A8,func_0010D0A8,sound.c,reached,generated
0x0010D118,sound_0010D118,sound.c,reached,generated
0x0010D250,sound_0010D250,sound.c,reached,generated
0x0010D268,SoundStereoSet,sound.c,reached,trace_string
0x0010D2F0,sound_0010D2F0,sound.c,reached,generated
0x0010D438,sound_0010D438,sound.c,reached,generated
0x0010D638,sound_0010D638,sound.c,reached,generated
0x0010D668,sound_0010D668,sound.c,reached,generated
0x0010D928,UnzipToSpu,sound.c,reached,trace_string
0x0010DB48,UnzipToIop,sound.c,reached,trace_string
0x0010DCA8,sound_0010DCA8,sound.c,reached,generated
0x0010DDD0,sound_0010DDD0,sound.c,reached,generated
0x0010DEC0,sound_0010DEC0,sound.c,reached,generated
0x0010E530,sound_0010E530,sound.c,reached,generated
0x0010E5C0,sound_0010E5C0,sound.c,reached,generated
0x0010E5E0,sound_0010E5E0,sound.c,reached,generated
0x0010E650,sound_0010E650,sound.c,reached,generated
0x0010E6E0,sound_0010E6E0,sound.c,reached,generated
0x0010E778,sound_0010E778,sound.c,reached,generated
0x0010E7D0,sound_0010E7D0,sound.c,unreferenced,generated
0x0010E818,sound_0010E818,sound.c,reached,generated
0x0010E860,sound_0010E860,sound.c,reached,generated
0x0010E8B8,sound_0010E8B8,sound.c,reached,generated
0x0010E910,sound_0010E910,sound.c,reached,generated
0x0010E958,sound_0010E958,sound.c,reached,generated
0x0010E9C0,sound_0010E9C0,sound.c,reached,generated
0x0010EA18,sound_0010EA18,sound.c,reached,generated
0x0010EA38,sound_0010EA38,sound.c,reached,generated
0x0010EAC0,sound_0010EAC0,sound.c,reached,generated
0x0010EB48,sound_0010EB48,sound.c,reached,generated
0x0010EBB0,sound_0010EBB0,sound.c,reached,generated
0x0010EC28,sound_0010EC28,sound.c,reached,generated
0x0010EC90,sound_0010EC90,sound.c,reached,generated
0x0010ECD8,sound_0010ECD8,sound.c,reached,generated
0x0010ED30,sound_0010ED30,sound.c,reached,generated
0x0010ED88,sound_0010ED88,sound.c,reached,generated
0x0010EDD0,sound_0010EDD0,sound.c,reached,generated
0x0010EE28,sound_0010EE28,sound.c,unreferenced,generated
0x0010EE70,sound_0010EE70,sound.c,reached,generated
0x0010EEB8,sound_0010EEB8,sound.c,reached,generated
0x0010EEF0,sound_0010EEF0,sound.c,reached,generated
0x0010EF68,sound_0010EF68,sound.c,unreferenced,generated
0x0010EF78,sound_0010EF78,sound.c,unreferenced,generated
0x0010EFD8,sound_0010EFD8,sound.c,unreferenced,generated
0x0010F070,sound_0010F070,sound.c,reached,generated
0x0010F210,sound_0010F210,sound.c,reached,generated
0x0010F278,sound_0010F278,sound.c,reached,generated
0x0010F448,sound_0010F448,sound.c,reached,generated
0x0010F520,sound_0010F520,sound.c,reached,generated
0x0010F570,sound_0010F570,sound.c,reached,generated
0x0010F5A8,sound_0010F5A8,sound.c,reached,generated
0x0010F5E0,sound_0010F5E0,sound.c,reached,generated
0x0010F618,sound_0010F618,sound.c,reached,generated
0x0010F650,sound_0010F650,sound.c,reached,generated
0x0010F688,sound_0010F688,sound.c,reached,generated
0x0010F6C0,sound_0010F6C0,sound.c,reached,generated
0x0010F778,sound_0010F778,sound.c,reached,generated
0x0010F818,SeLoad,soundse.c,reached,trace_string
0x0010F9E8,soundse_0010F9E8,soundse.c,reached,generated
0x0010FA30,soundse_0010FA30,soundse.c,reached,generated
0x0010FA88,soundse_0010FA88,soundse.c,reached,generated
0x0010FA98,soundse_0010FA98,soundse.c,reached,generated
0x0010FB30,soundse_0010FB30,soundse.c,reached,generated
0x0010FB98,soundse_0010FB98,soundse.c,reached,generated
0x0010FBB0,soundse_0010FBB0,soundse.c,reached,generated
